id	popcode	colcode	groupcode	site_and_spec	teeth
PB0471	2	1	1	2	3
PB0487	2	1	1	2	3
PB0503	2	1	1	2	3
PB0564	3	2	2	3	2
PB0593	3	2	2	3	2
PB0675	4	2	2	4	2
PB0697	5	1	1	5	3
PB0204	1	1	1	1	3
PB0472	2	1	1	2	3
PB0489	2	1	1	2	3
PB0505	2	1	1	2	3
PB0565	3	2	2	3	2
PB0594	3	1	7	22	3
PB0676	4	2	2	4	2
PB0698	5	1	1	5	3
PB0473	2	1	1	2	3
PB0490	2	1	1	2	3
PB0506	2	1	1	2	3
PB0566	3	1	7	22	3
PB0595	3	1	7	22	3
PB0677	4	2	2	4	2
PB0206	1	1	1	1	3
PB0474	2	1	1	2	3
PB0491	2	1	1	2	3
PB0507	2	1	1	2	3
PB0567	3	1	7	22	3
PB0596	3	2	2	3	2
PB0678	4	2	2	4	2
PB0209	1	1	1	1	3
PB0476	2	1	1	2	3
PB0492	2	1	1	2	3
PB0509	2	1	1	2	3
PB0568	3	1	7	22	3
PB0597	3	2	2	3	2
PB0679	4	2	2	4	2
PB0210	1	1	1	1	3
PB0477	2	1	1	2	3
PB0494	2	1	1	2	3
PB0512	2	1	1	2	3
PB0598	3	1	7	22	3
PB0680	4	2	2	4	2
PB0702	5	1	1	5	3
PB0211	1	1	1	1	3
PB0480	2	1	1	2	3
PB0496	2	1	1	2	3
PB0513	2	1	1	2	3
PB0576	3	1	7	22	3
PB0599	3	2	2	3	2
PB0681	4	2	2	4	2
PB0481	2	1	1	2	3
PB0497	2	1	1	2	3
PB0516	2	1	1	2	3
PB0579	3	1	7	22	3
PB0601	3	1	1	22	3
PB0682	4	2	2	4	2
PB0705	5	1	1	5	3
PB0215	1	1	1	1	3
PB0482	2	1	1	2	3
PB0499	2	1	1	2	3
PB0560	3	2	2	3	2
PB0589	3	1	1	22	3
PB0602	3	2	2	3	3
PB0683	4	2	2	4	2
PB0216	1	1	1	1	3
PB0483	2	1	1	2	3
PB0500	2	1	1	2	3
PB0561	3	2	2	3	2
PB0590	3	2	2	3	2
PB0614	3	2	2	3	3
PB0684	4	2	2	4	2
PB0217	1	1	1	1	3
PB0484	2	1	1	2	3
