ID	Pop	name	teeth	sympatric	virPerf	virGBS	virCombined
CLY002	1	gtB01	2	1	1	1	1
CLY004	1	gtB01	2	1	1	1	1
CLY006	1	gtB01	2	1	1	3	1
CLY007	1	gtB01	2	1	1	1	1
CLY009	1	gtB01	2	1	1	1	1
CLY012	1	gtB01	2	1	1	1	1
CLY013	1	gtB01	2	1	1	3	1
CLY014	1	gtB01	2	1	1	1	1
CLY015	1	gtB01	2	1	1	3	1
CLY016	1	gtB01	2	1	1	1	1
CLY017	1	gtB01	2	1	1	1	1
CLY018	1	gtB01	2	1	1	1	1
CLY020	1	gtB01	2	1	1	1	1
CLY021	1	gtB01	2	1	1	1	1
CLY023	1	gtB01	2	1	1	3	1
CLY025	1	gtB01	3	1	0	0	0
CLY026	2	gtB02	3	1	0	3	0
CLY027	2	gtB02	3	1	0	3	0
CLY028	2	gtB02	3	1	0	3	0
CLY030	2	gtB02	3	1	0	3	0
CLY031	2	gtB02	3	1	0	3	0
CLY032	2	gtB02	3	1	0	3	0
CLY033	2	gtB02	3	1	2	3	2
CLY034	2	gtB02	3	1	0	3	0
CLY038	2	gtB02	3	1	1	3	1
CLY039	2	gtB02	3	1	1	3	1
CLY040	2	gtB02	3	1	0	3	0
CLY041	2	gtB02	3	1	0	3	0
CLY043	2	gtB02	3	1	0	3	0
CLY046	2	gtB02	3	1	0	3	0
CLY047	2	gtB02	3	1	0	3	0
CLY048	2	gtB02	3	1	0	3	0
CLY050	2	gtB02	3	1	0	3	0
CLY052	2	gtB02	3	1	0	3	0
CLY053	2	gtB02	3	1	1	3	1
CLY054	2	gtB02	3	1	0	3	0
CLY055	2	gtB02	3	1	0	3	0
CLY056	2	gtB02	3	1	0	3	0
CLY058	2	gtB02	3	1	0	3	0
CLY059	2	gtB02	3	1	0	3	0
PB0195	3	crB04	3	0	0	3	0
PB0197	3	crB04	3	0	0	3	0
PB0198	3	crB04	3	0	0	3	0
PB0199	3	crB04	3	0	0	3	0
PB0202	3	crB04	3	0	0	3	0
PB0203	3	crB04	3	0	0	3	0
PB0204	3	crB04	3	0	0	0	0
PB0205	3	crB04	3	0	0	3	0
PB0206	3	crB04	3	0	0	0	0
PB0207	3	crB04	3	0	0	3	0
PB0208	3	crB04	3	0	0	3	0
PB0209	3	crB04	3	0	0	0	0
PB0210	3	crB04	3	0	0	0	0
PB0211	3	crB04	3	0	0	0	0
PB0212	3	crB04	3	0	0	3	0
PB0214	3	crB04	3	0	0	3	0
PB0215	3	crB04	3	0	0	0	0
PB0216	3	crB04	3	0	0	0	0
PB0217	3	crB04	3	0	0	0	0
PB0219	3	crB04	3	0	0	0	0
PB0413	4	mxB02	2	1	1	1	1
PB0415	4	mxB02	3	1	0	0	0
PB0417	4	mxB02	3	1	1	0	1
PB0419	4	mxB02	2	1	1	1	1
PB0420	4	mxB02	2	1	1	1	1
PB0421	4	mxB02	2	1	1	1	1
PB0424	4	mxB02	3	1	0	0	0
PB0427	4	mxB02	3	1	0	0	0
PB0429	4	mxB02	3	1	0	0	0
PB0434	4	mxB02	3	1	0	0	0
PB0435	4	mxB02	3	1	0	0	0
PB0437	4	mxB02	3	1	0	3	0
PB0441	4	mxB02	3	1	0	0	0
PB0442	4	mxB02	3	1	0	0	0
PB0443	4	mxB02	3	1	0	3	0
PB0444	4	mxB02	3	1	0	0	0
PB0445	4	mxB02	2	1	1	1	1
PB0446	4	mxB02	2	1	1	1	1
PB0449	4	mxB02	2	1	1	1	1
PB0450	4	mxB02	3	1	0	0	0
PB0451	4	mxB02	3	1	0	0	0
PB0455	4	mxB02	3	1	0	0	0
PB0457	4	mxB02	3	1	0	0	0
PB0471	5	mxB05	3	0	0	0	0
PB0472	5	mxB05	3	0	0	0	0
PB0473	5	mxB05	3	0	0	0	0
PB0474	5	mxB05	3	0	0	0	0
PB0476	5	mxB05	3	0	0	0	0
PB0477	5	mxB05	3	0	0	0	0
PB0480	5	mxB05	3	0	0	0	0
PB0481	5	mxB05	3	0	0	0	0
PB0482	5	mxB05	3	0	0	0	0
PB0483	5	mxB05	3	0	0	0	0
PB0484	5	mxB05	3	0	0	0	0
PB0485	5	mxB05	3	0	0	0	0
PB0487	5	mxB05	3	0	0	0	0
PB0489	5	mxB05	3	0	0	0	0
PB0490	5	mxB05	3	0	0	0	0
PB0491	5	mxB05	3	0	0	0	0
PB0492	5	mxB05	3	0	0	0	0
PB0494	5	mxB05	3	0	0	0	0
PB0496	5	mxB05	3	0	0	0	0
PB0497	5	mxB05	3	0	0	0	0
PB0499	5	mxB05	3	0	0	0	0
PB0500	5	mxB05	3	0	0	0	0
PB0501	5	mxB05	3	0	0	0	0
PB0502	5	mxB05	3	0	0	3	0
PB0503	5	mxB05	3	0	0	0	0
PB0505	5	mxB05	3	0	0	0	0
PB0506	5	mxB05	3	0	0	0	0
PB0507	5	mxB05	3	0	0	0	0
PB0509	5	mxB05	3	0	0	0	0
PB0512	5	mxB05	3	0	0	0	0
PB0513	5	mxB05	3	0	0	0	0
PB0516	5	mxB05	3	0	0	0	0
PB0518	6	mxB06	3	1	0	3	0
PB0519	6	mxB06	3	1	0	0	0
PB0520	6	mxB06	3	1	0	0	0
PB0521	6	mxB06	3	1	0	0	0
PB0523	6	mxB06	3	1	0	3	0
PB0525	6	mxB06	3	1	0	3	0
PB0526	6	mxB06	3	1	0	3	0
PB0527	6	mxB06	3	1	0	3	0
PB0528	6	mxB06	2	1	1	1	1
PB0529	6	mxB06	3	1	0	3	0
PB0530	6	mxB06	3	1	0	3	0
PB0533	6	mxB06	2	1	3	1	1
PB0534	6	mxB06	3	1	3	1	1
PB0535	6	mxB06	3	1	0	3	0
PB0536	6	mxB06	3	1	2	3	2
PB0537	6	mxB06	2	1	1	1	1
PB0538	6	mxB06	3	1	0	3	0
PB0539	6	mxB06	3	1	0	3	0
PB0540	6	mxB06	3	1	1	1	1
PB0541	6	mxB06	3	1	0	3	0
PB0542	6	mxB06	3	1	0	3	0
PB0543	6	mxB06	3	1	0	0	0
PB0544	6	mxB06	3	1	0	3	0
PB0545	6	mxB06	3	1	1	0	1
PB0546	6	mxB06	2	1	1	1	1
PB0547	6	mxB06	3	1	0	0	0
PB0548	6	mxB06	2	1	0	0	0
PB0549	6	mxB06	3	1	0	0	0
PB0550	6	mxB06	3	1	0	3	0
PB0551	6	mxB06	3	1	0	3	0
PB0554	6	mxB06	3	1	0	0	0
PB0555	6	mxB06	3	1	0	3	0
PB0556	6	mxB06	3	1	0	3	0
PB0557	6	mxB06	3	1	0	3	0
PB0558	6	mxB06	2	1	1	1	1
PB0560	7	mxB08	2	1	3	1	1
PB0561	7	mxB08	2	1	1	1	1
PB0562	7	mxB08	2	1	1	1	1
PB0563	7	mxB08	2	1	3	1	1
PB0564	7	mxB08	2	1	1	1	1
PB0565	7	mxB08	2	1	1	1	1
PB0566	7	mxB08	3	1	0	0	0
PB0567	7	mxB08	3	1	0	0	0
PB0568	7	mxB08	3	1	0	0	0
PB0571	7	mxB08	3	1	0	3	0
PB0576	7	mxB08	3	1	0	0	0
PB0579	7	mxB08	3	1	0	0	0
PB0589	7	mxB08	3	1	1	0	1
PB0590	7	mxB08	2	1	1	1	1
PB0591	7	mxB08	2	1	1	1	1
PB0592	7	mxB08	3	1	1	1	1
PB0593	7	mxB08	2	1	1	1	1
PB0594	7	mxB08	3	1	0	0	0
PB0595	7	mxB08	3	1	0	0	0
PB0596	7	mxB08	2	1	1	1	1
PB0597	7	mxB08	2	1	1	1	1
PB0598	7	mxB08	3	1	0	0	0
PB0599	7	mxB08	2	1	1	1	1
PB0601	7	mxB08	3	1	1	0	1
PB0602	7	mxB08	3	1	1	1	1
PB0614	7	mxB08	3	1	0	1	0
PB0616	7	mxB08	3	1	0	0	0
PB0618	7	mxB08	3	1	0	0	0
PB0624	8	mxB12	2	0	1	3	1
PB0625	8	mxB12	2	0	1	3	1
PB0626	8	mxB12	2	0	1	3	1
PB0627	8	mxB12	2	0	1	3	1
PB0628	8	mxB12	2	0	1	3	1
PB0629	8	mxB12	2	0	1	3	1
PB0630	8	mxB12	2	0	1	3	1
PB0631	8	mxB12	2	0	1	3	1
PB0632	8	mxB12	2	0	1	3	1
PB0633	8	mxB12	2	0	1	3	1
PB0634	8	mxB12	2	0	1	3	1
PB0635	8	mxB12	2	0	1	3	1
PB0636	8	mxB12	2	0	1	3	1
PB0637	8	mxB12	2	0	1	3	1
PB0638	8	mxB12	2	0	1	3	1
PB0639	8	mxB12	2	0	1	3	1
PB0640	8	mxB12	2	0	1	3	1
PB0641	8	mxB12	2	0	1	3	1
PB0642	8	mxB12	2	0	1	3	1
PB0643	8	mxB12	2	0	1	3	1
PB0675	8	mxB12	2	0	1	1	1
PB0676	8	mxB12	2	0	1	1	1
PB0677	8	mxB12	2	0	1	1	1
PB0678	8	mxB12	2	0	1	1	1
PB0679	8	mxB12	2	0	1	1	1
PB0680	8	mxB12	2	0	1	1	1
PB0681	8	mxB12	2	0	1	1	1
PB0682	8	mxB12	2	0	1	1	1
PB0683	8	mxB12	2	0	1	1	1
PB0684	8	mxB12	2	0	1	1	1
PB0685	8	mxB12	2	0	1	1	1
PB0686	8	mxB12	2	0	1	1	1
PB0687	8	mxB12	2	0	1	3	1
PB0688	8	mxB12	2	0	1	3	1
PB0689	8	mxB12	2	0	1	3	1
PB0690	8	mxB12	2	0	1	3	1
PB0691	8	mxB12	2	0	1	3	1
PB0692	8	mxB12	2	0	1	3	1
